EAN,Dimensions
9782378128708.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782378129088.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782080411693.0,"15,0 cm × 22,0 cm × 2,1 cm"
9782382846056.0,"14,0 cm × 20,3 cm × 2,0 cm"
9782226468543.0,"12,6 cm × 18,4 cm × 1,7 cm"
9782226468550.0,"12,6 cm × 18,4 cm × 1,6 cm"
9782226483935.0,"15,0 cm × 22,2 cm × 3,5 cm"
9782080283689.0,"13,8 cm × 21,0 cm × 1,7 cm"
9782080429148.0,"13,9 cm × 20,9 cm × 1,7 cm"
9782246831983.0,"12,1 cm × 18,5 cm × 1,5 cm"
9782824622439.0,"14,7 cm × 22,5 cm × 2,7 cm"
9782290393017.0,"13,1 cm × 19,1 cm × 2,4 cm"
9782382846469.0,"14,0 cm × 20,5 cm × 2,6 cm"
9782743660482.0,"13,9 cm × 20,4 cm × 2,0 cm"
9782322499465.0,"12,0 cm × 19,0 cm × 1,3 cm"
9791032922842.0,
9782382844823.0,
9791096739141.0,"17,8 cm × 24,8 cm × 4,0 cm"
9782406158202.0,
9782812455988.0,
9791030801040.0,"14,0 cm × 20,6 cm × 2,2 cm"
9782406148487.0,"15,0 cm × 22,0 cm × 0,8 cm"
9782406148494.0,
9782754763967.0,"13,3 cm × 20,3 cm × 0,0 cm"
9782812204524.0,"14,0 cm × 22,5 cm × 1,8 cm"
9782812204531.0,"14,0 cm × 22,5 cm × 2,1 cm"
9782385290337.0,"15,0 cm × 23,0 cm × 4,8 cm"
9782874898877.0,"14,0 cm × 21,0 cm × 0,5 cm"
9782487000025.0,"1,3 cm × 2,2 cm × 0,1 cm"
9782379614200.0,"14,8 cm × 21,0 cm × 2,4 cm"
9782379615177.0,"14,8 cm × 21,0 cm × 3,1 cm"
9782956030614.0,"14,5 cm × 24,0 cm × 2,2 cm"
9791038121546.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038121584.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038121683.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038135031.0,"14,0 cm × 21,6 cm × 0,0 cm"
9782352848233.0,"15,0 cm × 19,0 cm × 1,5 cm"
9791038116467.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038124035.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038128071.0,"14,0 cm × 21,6 cm × 0,0 cm"
9791038138650.0,"14,0 cm × 21,6 cm × 0,0 cm"
9782494667013.0,"13,5 cm × 21,0 cm × 1,0 cm"
9782494707061.0,"14,3 cm × 20,8 cm × 2,8 cm"
9782846795470.0,"13,0 cm × 21,5 cm × 1,4 cm"
9782874898945.0,"12,5 cm × 21,5 cm × 3,0 cm"
9782494707092.0,
9782494707108.0,
9782363365903.0,"13,0 cm × 20,0 cm × 0,0 cm"
9782379460968.0,"13,0 cm × 21,0 cm × 2,2 cm"
9782322473663.0,"14,8 cm × 21,0 cm × 1,5 cm"
9782490155804.0,"12,6 cm × 19,2 cm × 2,1 cm"
9782832112410.0,"11,0 cm × 20,0 cm × 1,2 cm"
9782832112465.0,"14,0 cm × 21,0 cm × 1,2 cm"
9782911965128.0,"15,0 cm × 22,0 cm × 1,5 cm"
9782021539486.0,"14,5 cm × 22,1 cm × 3,8 cm"
9782364452527.0,"14,0 cm × 21,0 cm × 2,2 cm"
9782373057348.0,"14,0 cm × 20,5 cm × 2,1 cm"
9782494405042.0,"14,0 cm × 19,5 cm × 3,2 cm"
9782902039463.0,"15,0 cm × 19,0 cm × 0,2 cm"
9782378129101.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782492027390.0,"14,0 cm × 21,0 cm × 0,0 cm"
9782378128906.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782378128968.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782385760069.0,"14,0 cm × 21,6 cm × 0,0 cm"
9782385760090.0,"14,0 cm × 21,6 cm × 0,0 cm"
9782360121595.0,"14,0 cm × 20,4 cm × 2,3 cm"
9782362796142.0,"13,5 cm × 18,5 cm × 1,7 cm"
9782823619393.0,"14,3 cm × 20,5 cm × 3,1 cm"
9791042203191.0,"14,8 cm × 21,0 cm × 0,9 cm"
9782364684119.0,"16,6 cm × 23,1 cm × 3,7 cm"
9782380822656.0,"14,3 cm × 20,6 cm × 3,0 cm"
9791040116417.0,"13,3 cm × 20,4 cm × 2,3 cm"
9782021497885.0,"15,8 cm × 24,3 cm × 4,6 cm"
9782380823097.0,"14,4 cm × 20,6 cm × 2,9 cm"
